channel,wavenumber,correction_factor1,correction_factor2,fov,
1,  672.209,    0.028,  0.99991,    1.4                                            
2,  675.902,    0.148,  0.99961,    1.4    
3,  689.878,    0.111,  0.99971,    1.4  
4,  704.918,    0.044,  0.99984,    1.4    
5,  718.439,    -0.034, 1.00000,    1.4  
6,  732.310,    0.062,  0.99981,    1.4  
7,  749.842,    -0.100, 1.00012,    1.4  
8,  896.774,    0.179,  0.99962,    1.4  
9,  1020.200,   0.262,  0.99991,    1.4  
10, 1222.633,   -0.201, 0.99878,    1.4  
11, 1366.134,   0.067,  0.99967,    1.4  
12, 1481.513,   0.579,  1.00026,    1.4  
13, 2190.491,   0.021,  1.00000,    1.4  
14, 2210.857,   -0.003, 0.99979,    1.4  
15, 2237.612,   0.026,  1.00000,    1.4  
16, 2269.657,   0.014,  0.99991,    1.4  
17, 2360.938,   0.035,  1.00011,    1.4  
18, 2515.271,   0.048,  0.99985,    1.4  
19, 2650.045,   0.471,  1.00042,    1.4  

#source wavenumbers: https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_noaa_6_hirs-shifted_srf.html
#source correction-factors: /scratch/uni/u237/sw/AAPP8/AAPP/data/calibration/coef/hirs/calcoef.dat
#source fov:  M.J.Burgdorf et al., 2020

